Gene1	Gene2	interaction	Annotation	Regulation	TRRUST_Annotation	TRRUST_Direction	TRRUST_Score
APLF	XRCC4	->	complex; input (Complex interaction)	Activation			
APOBEC3G	HMGA1	-|	complex; inhibite; input	Inhibition			
AQP3	AQP5	->	input (Input/Compound interaction)	Activation			
AR	ACTA1	->			Activation	->	1.0
AR	AKR1C3	-|			Repression	-|	1.0
AR	AKT1	-|			Repression	-|	1.0
AR	ARG1	->			Activation	->	1.0
AR	ARG2	->			Activation	->	1.0
AR	BTG1	-|			Repression	-|	1.0
AR	BTG2	-|			Repression	-|	1.0
AR	CCND3	->	activate; complex; input	Activation			
AR	CDC6	->			Activation	->	1.0
AR	CDH1	-|			Repression	-|	1.0
AR	CDH2	->			Activation	->	1.0
AR	CDK20	->			Activation	->	1.0
AR	CDKN1A	-|			Repression	-|	1.0
AR	CLK3	-|			Repression	-|	1.0
AR	CRH	-|			Repression	-|	1.0
AR	CTNNB1	->			Activation	->	1.0
AR	CYP7B1	-|			Repression	-|	1.0
AR	ECM1	->	expression regulates	Activation			
AR	EGFR	->			Activation	->	1.0
AR	EP300	->			Activation	->	1.0
AR	ERBB2	->			Activation	->	1.0
AR	ERBB3	->			Activation	->	1.0
AR	ETV1	->			Activation	->	1.0
AR	FOXO1	->	activate; inhibited by (Source activates Target)	Activation			
AR	GSN	->	reaction (Complex interaction)	Activation			
AR	HEY1	->	complex; input (Complex interaction)	Activation			
AR	HIP1	->	reaction (Complex interaction)	Activation			
AR	HMOX1	->			Activation	->	1.0
AR	IGF1R	->			Activation	->	1.0
AR	JUN	->	reaction (Complex interaction)	Activation	Activation	->	1.0
AR	KISS1	->			Activation	->	1.0
AR	KISS1R	->			Activation	->	1.0
AR	KLK3	-|			Repression	-|	1.0
AR	LCP1	->	expression regulates	Activation			
AR	MUC1	-|			Repression	-|	1.0
AR	MYC	->	expression regulates	Activation			
AR	NAT1	->			Activation	->	1.0
AR	NFKB1	-|			Repression	-|	1.0
AR	NKX3-1	->			Activation	->	1.0
AR	NR3C1	->	complex; input (Complex interaction)	Activation			
AR	NR3C2	->	input (Input/Compound interaction)	Activation			
AR	NRAS	-|			Repression	-|	1.0
AR	PC	->			Activation	->	1.0
AR	PGC	->	expression regulates	Activation			
AR	PLAU	->	expression regulates	Activation			
AR	PTEN	->			Activation	->	1.0
AR	PTGS2	-|			Repression	-|	1.0
AR	PTK2B	->	activate; inhibited by (Source activates Target)	Activation			
AR	RELA	-|			Repression	-|	1.0
AR	REST	-|			Repression	-|	1.0
AR	SEPT7	-|			Repression	-|	1.0
AR	SERPINB5	-|			Repression	-|	1.0
AR	SPDEF	->	reaction (Complex interaction)	Activation			
AR	TCF4	->	activate; inhibited by (Source activates Target)	Activation			
AR	TCF7L2	->	input (Input/Compound interaction)	Activation			
AR	TGFA	->			Activation	->	1.0
AR	TH	->			Activation	->	1.0
AR	TJP1	->			Activation	->	1.0
AR	TMPRSS2	->			Activation	->	1.0
AR	TSC1	-|			Repression	-|	1.0
AR	TSC2	-|			Repression	-|	1.0
AR	UCN	-|			Repression	-|	1.0
AR	VEGFA	->			Activation	->	1.0
AR	VIM	-|			Repression	-|	1.0
AR	WEE1	-|			Repression	-|	1.0
AR	WNT7B	->			Activation	->	1.0
AR	XIAP	-|			Repression	-|	1.0
ARHGAP31	RHOU	->	complex; input (Complex interaction)	Activation			
ARHGAP32	NGF	->	complex; input (Complex interaction)	Activation			
ARHGAP32	RHOD	->	catalyze	Activation			
ARHGDIB	NGFR	->	PPrel: binding/association (Binding/Association)	Activation			
ARHGEF16	RHOB	->	catalyze	Activation			
ARHGEF4	RAC3	->	PPrel: activation	Activation			
ARHGEF4	RHOB	->	catalyze	Activation			
ARHGEF5	RHOB	->	catalyze	Activation			
ARHGEF6	DAG1	->	complex (Complex interaction)	Activation			
ARHGEF6	DMD	->	complex (Complex interaction)	Activation			
ARHGEF6	LAMA1	->	complex; input (Complex interaction)	Activation			
ARHGEF6	LAMA3	->	complex; input (Complex interaction)	Activation			
ARHGEF6	LAMA5	->	complex; input (Complex interaction)	Activation			
ARHGEF6	RAC3	->	PPrel: activation	Activation			
ARHGEF6	RHOB	->	catalyze	Activation			
ARL6IP5	SLC1A1	-|	inhibit	Inhibition			
ARL6IP5	SLC1A3	-|	inhibit	Inhibition			
ARL6IP5	SLC1A7	-|	inhibite	Inhibition			
ARNTL	BHLHE40	->			Activation	->	1.0
ARNTL	CRY1	->			Activation	->	1.0
ARNTL	CRY2	->			Activation	->	1.0
ARNTL	PER1	->			Activation	->	1.0
ARNTL	PER2	->			Activation	->	1.0
ARNTL	PER3	->			Activation	->	1.0
ASAH1	PDGFA	->	reaction (Complex interaction)	Activation			
ATF1	AQP3	->	expression regulated by (Swapped)	Activation			
ATF1	CCNA1	-|			Repression	-|	1.0
ATF1	CFTR	->			Activation	->	1.0
ATF1	CGA	->	expression regulates	Activation			
ATF1	CIITA	->	expression regulates	Activation			
ATF1	CREB3L1	->	complex (Complex interaction)	Activation			
ATF1	EGR1	->	expression regulates; reaction	Activation			
ATF1	FLT1	->	expression regulates	Activation			
ATF1	FTH1	-|			Repression	-|	1.0
ATF1	HLA-G	->	expression regulates	Activation			
ATF1	IL10	->			Activation	->	1.0
ATF1	IL1B	->	expression regulates	Activation			
ATF1	IL6	->	expression regulates	Activation			
ATF1	INHBA	->	expression regulates	Activation			
ATF1	JUN	->	expression regulates	Activation			
ATF1	MAP1LC3B	->			Activation	->	1.0
ATF1	MITF	->			Activation	->	1.0
ATF1	NT5E	->	expression regulates	Activation			
ATF1	PCSK1	->			Activation	->	1.0
ATF1	SLC20A1	->	expression regulates	Activation	Activation	->	1.0
ATF1	TGFB2	->	expression regulates	Activation	Activation	->	1.0
ATF1	VIPR1	->	expression regulates	Activation			
ATP1A3	ATP1B1	->	complex; reaction (Input/Compound interaction)	Activation			
ATP6AP1	ATP6V0A4	->	complex; input (Complex interaction)	Activation			
ATP6AP1	ATP6V0D2	->	complex; input (Complex interaction)	Activation			
ATP6AP1	ATP6V0E1	->	complex; input (Complex interaction)	Activation			
ATP6AP1	PRKCG	->	PPrel: binding/association (Binding/Association)	Activation			
ATP6V0A4	ATP6V0D2	->	complex (Complex interaction)	Activation			
ATP6V0A4	ATP6V0E1	->	complex (Complex interaction)	Activation			
ATP6V0D2	ATP6V0E1	->	complex (Complex interaction)	Activation			
AXIN2	LEF1	->	GErel: expression by; PPrel: activation (Bidirectional Activation)	Activation			
AXIN2	TCF7	->	GErel: expression by; PPrel: activation (Bidirectional Activation)	Activation			
AXIN2	TCF7L2	->	GErel: expression by; PPrel: activation; expression regulated by (Bidirectional Activation)	Activation			
B3GNT3	LUM	->	catalyze	Activation			
B3GNT7	LUM	->	catalyze	Activation			
B4GALT4	LUM	->	catalyze	Activation			
BACH2	XBP1	-|			Repression	-|	1.0
BHLHE40	ID1	->	expression regulates	Activation			
BHLHE40	NR1D1	->	expression regulates	Activation			
BHLHE40	ZNF175	->	expression regulates	Activation			
BID	BAK1	->	PPrel: activated by; complex; input (Swapped)	Activation			
BID	GSN	->	activate; inhibited by (Source activates Target)	Activation			
BIRC3	BID	->	activated by (Swapped)	Activation			
BIRC3	CD14	->	catalyze	Activation			
BIRC3	CD40	->	complex; input; reaction (Complex interaction)	Activation			
BIRC3	CFLAR	-|	activated by; inhibite (Source inhibits Target)	Inhibition			
BIRC3	CRADD	->	complex; input (Complex interaction)	Activation			
BIRC3	MADD	->	complex; input (Complex interaction)	Activation			
BIRC3	RIPK2	->	PPrel: activation, ubiquitination	Activation			
BIRC3	SMPD1	->	activate	Activation			
BIRC3	SMPD3	->	activate	Activation			
BIRC3	TLR4	->	catalyze	Activation			
BIRC3	TNFAIP3	->	activate; catalyzed by; complex; inhibited by; input	Activation			
BIRC3	TNFRSF1A	->	PPrel: activated by; activated by; catalyze; catalyzed by; complex; input; reaction (Bidirectional Activation)	Activation			
BIRC3	TNFRSF1B	->	complex; input; reaction (Complex interaction)	Activation			
BMP1	COL27A1	->	catalyze	Activation			
BMP1	COL3A1	->	catalyze	Activation			
BMP1	COL5A1	->	catalyze	Activation			
BMP1	HSPG2	->	catalyze	Activation			
BMP1	LAMA3	->	catalyze	Activation			
BMP1	LAMC2	->	catalyze	Activation			
BMP1	LOX	->	catalyze	Activation			
BMP1	LOXL1	->	catalyze	Activation			
BMP5	BMPR1B	->	PPrel: activation	Activation			
BMP6	BMPR1B	->	PPrel: activation; complex; input	Activation			
BMPR1B	CHRDL1	->	input (Input/Compound interaction)	Activation			
BMPR1B	FST	->	complex; input (Complex interaction)	Activation			
BMPR1B	MAPK13	-|	PPrel: inhibition, indirect effect	Inhibition			
BMPR1B	NOG	->	input (Input/Compound interaction)	Activation			
BMPR1B	RAC3	->	PPrel: activation, indirect effect	Activation			
BMPR1B	RGMB	->	PPrel: binding/association; complex; input (Binding/Association)	Activation			
BMPR1B	SMAD6	->	activate; complex; inhibited by; input (Source activates Target)	Activation			
BMPR1B	SMAD7	->	complex; input (Complex interaction)	Activation			
BNIP3L	GABARAPL1	->	PPrel: binding/association (Binding/Association)	Activation			
BNIP3L	STEAP3	->	complex; input (Complex interaction)	Activation			
BTG2	CCND1	-|			Repression	-|	1.0
BTG2	HRAS	-|			Repression	-|	1.0
BTG2	KLK3	-|			Repression	-|	1.0
BTG2	SPHK1	->			Activation	->	1.0
C2	C4BPB	->	complex; input (Complex interaction)	Activation			
CACNA2D1	RASGRF2	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNA2D1	RASGRP1	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNA2D1	RASGRP2	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNB4	RASGRF2	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNB4	RASGRP1	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNB4	RASGRP2	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNG4	EPB41L1	->	input (Input/Compound interaction)	Activation			
CACNG4	RASGRF2	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNG4	RASGRP1	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNG4	RASGRP2	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNG6	RASGRF2	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNG6	RASGRP1	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNG6	RASGRP2	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNG7	RASGRF2	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNG7	RASGRP1	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNG7	RASGRP2	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNG8	EPB41L1	->	input (Input/Compound interaction)	Activation			
CACNG8	RASGRF2	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNG8	RASGRP1	->	PPrel: compound (Input/Compound interaction)	Activation			
CACNG8	RASGRP2	->	PPrel: compound (Input/Compound interaction)	Activation			
CALCR	RAMP1	->	complex (Complex interaction)	Activation			
CAMK1D	ATF1	->	PPrel: activated by, phosphorylation (Swapped)	Activation			
CAMK1D	CREB3L1	->	PPrel: activation, phosphorylation	Activation			
CAMK2D	AKAP5	->	catalyzed by (Swapped)	Activation			
CAMK2D	ATF1	->	PPrel: activated by, phosphorylation (Swapped)	Activation			
CAMK2D	CACNA2D1	->	PPrel: activated by, phosphorylation (Swapped)	Activation			
CAMK2D	CACNB4	->	PPrel: activated by, phosphorylation (Swapped)	Activation			
CAMK2D	CACNG4	->	PPrel: activated by, phosphorylation; catalyzed by (Swapped)	Activation			
CAMK2D	CACNG6	->	PPrel: activated by, phosphorylation (Swapped)	Activation			
CAMK2D	CACNG7	->	PPrel: activated by, phosphorylation (Swapped)	Activation			
CAMK2D	CACNG8	->	PPrel: activated by, phosphorylation; catalyzed by (Swapped)	Activation			
CAMK2D	CREB3L1	->	PPrel: activation; PPrel: activation, phosphorylation	Activation			
CAMK2D	EPB41L1	->	catalyze	Activation			
CAMK2D	FLNB	->	PPrel: phosphorylation	Activation			
CAMK2D	FLNC	->	PPrel: phosphorylation	Activation			
CAMK2D	FOXO1	->	PPrel: activation, phosphorylation, indirect effect	Activation			
CAMK2D	IFNGR2	->	catalyze	Activation			
CAMK2D	JAK1	->	activated by; catalyze (Bidirectional Activation)	Activation			
CAMK2D	MEF2C	->	activate	Activation			
CAMK2D	PDE10A	-|	PPrel: inhibition, phosphorylation	Inhibition			
CAMK2D	PDE3A	-|	PPrel: inhibition, phosphorylation	Inhibition			
CAMK2D	PDE3B	-|	PPrel: inhibition, phosphorylation	Inhibition			
CAMK2D	PLCG1	->	PPrel: compound (Input/Compound interaction)	Activation			
CAMK2D	TLE1	->	activate	Activation			
CARD11	MALT1	->	complex; input (Complex interaction)	Activation			
CASK	CLIC5	->	complex (Complex interaction)	Activation			
CASK	EPB41L1	->	complex (Complex interaction)	Activation			
CASK	GSN	->	complex (Complex interaction)	Activation			
CASK	MPP1	->	complex (Complex interaction)	Activation			
CASK	MSN	->	complex (Complex interaction)	Activation			
CASK	MYO7A	->	complex (Complex interaction)	Activation			
CASK	NRXN3	->	complex; input (Complex interaction)	Activation			
CASK	PPFIA2	->	activate	Activation			
CASK	RAB3A	->	activate	Activation			
CASK	RIMS1	->	activate	Activation			
CASK	SDC2	->	complex; input (Complex interaction)	Activation			
CASK	SDC3	->	complex; input (Complex interaction)	Activation			
CASK	UNC13B	->	activate	Activation			
CAV1	COL12A1	->	complex; input (Complex interaction)	Activation			
CAV1	COL17A1	->	complex; input (Complex interaction)	Activation			
CAV1	COL27A1	->	complex; input (Complex interaction)	Activation			
CAV1	COL3A1	->	complex; input (Complex interaction)	Activation			
CAV1	COL4A3	->	complex; input (Complex interaction)	Activation			
CAV1	COL4A4	->	complex; input (Complex interaction)	Activation			
CAV1	COL4A5	->	complex; input (Complex interaction)	Activation			
CAV1	COL4A6	->	complex; input (Complex interaction)	Activation			
CAV1	COL5A1	->	complex; input (Complex interaction)	Activation			
CAV1	COL6A2	->	complex; input (Complex interaction)	Activation			
CAV1	COL6A3	->	complex; input (Complex interaction)	Activation			
CAV1	COL8A1	->	complex; input (Complex interaction)	Activation			
CAV1	DMBT1	->	complex; input (Complex interaction)	Activation			
CAV1	FN1	->	complex; input (Complex interaction)	Activation			
CAV1	FZD5	->	activate; complex	Activation			
CAV1	ITGA2	->	complex; input (Complex interaction)	Activation			
CAV1	ITGA6	->	complex; input (Complex interaction)	Activation			
CAV1	ITGB3	->	PPrel: binding/association (Binding/Association)	Activation			
CAV1	ITGB8	->	PPrel: binding/association; complex; input (Binding/Association)	Activation			
CAV1	ITGBL1	->	complex; input (Complex interaction)	Activation			
CAV1	LAMA1	->	complex; input (Complex interaction)	Activation			
CAV1	LAMA3	->	complex; input (Complex interaction)	Activation			
CAV1	LAMA5	->	complex; input (Complex interaction)	Activation			
CAV1	LAMB2	->	complex; input (Complex interaction)	Activation			
CAV1	LAMC2	->	complex; input (Complex interaction)	Activation			
CAV1	SMAD3	->	input (Input/Compound interaction)	Activation			
CAV1	SMAD7	->	complex; input (Complex interaction)	Activation			
CAV1	TNFRSF1A	->	activate	Activation			
CBL	DNAJC6	->	complex; input (Complex interaction)	Activation			
CBL	ERBB4	->	catalyze	Activation			
CBL	EREG	->	complex; input (Complex interaction)	Activation			
CBL	FGF20	->	complex; input (Complex interaction)	Activation			
CBL	FGF5	->	complex; input (Complex interaction)	Activation			
CBL	FGFR2	->	PPrel: binding/association; PPrel: ubiquitination; complex; input (Binding/Association)	Activation			
CBL	FLT1	->	complex; input (Complex interaction)	Activation			
CBL	HIP1	->	complex; input (Complex interaction)	Activation			
CBL	HIP1R	->	complex; input (Complex interaction)	Activation			
CBL	HLA-A	->	complex; input (Complex interaction)	Activation			
CBL	IL6	->	complex; input (Complex interaction)	Activation			
CBL	IL6R	->	complex; input (Complex interaction)	Activation			
CBL	ITGB3	->	complex; input (Complex interaction)	Activation			
CBL	KITLG	->	complex; input (Complex interaction)	Activation			
CBL	KL	->	complex; input (Complex interaction)	Activation			
CBL	MYC	-|	PPrel: inhibition, indirect effect	Inhibition			
CBL	PDGFB	->	complex; input (Complex interaction)	Activation			
CBL	PLCG1	->	activate; input	Activation			
CBL	REPS2	->	complex (Complex interaction)	Activation			
CBL	SDC2	->	complex; input (Complex interaction)	Activation			
CBL	SH3KBP1	->	activate; complex; input	Activation			
CBL	SPRY1	->	catalyze; complex; inhibited by; input (Source activates Target)	Activation			
CBL	STAM	->	complex; input (Complex interaction)	Activation			
CBL	SYNJ1	->	complex; input (Complex interaction)	Activation			
CBL	SYNJ2	->	complex; input (Complex interaction)	Activation			
CBL	TGFA	->	complex; input (Complex interaction)	Activation			
CBLB	CD40	->	complex; input (Complex interaction)	Activation			
CBLB	ERBB4	->	catalyze	Activation			
CBLB	FGFR2	->	PPrel: binding/association; PPrel: ubiquitination (Binding/Association)	Activation			
CBLB	SH3KBP1	->	complex (Complex interaction)	Activation			
CCL26	CCR1	->	PPrel: activation, binding/association; complex; input	Activation			
CCL26	CXCR4	->	PPrel: activation, binding/association; complex; input	Activation			
CCL26	GNA15	->	complex; input (Complex interaction)	Activation			
CCND3	CDKN1C	->	PPrel: binding/association (Binding/Association)	Activation			
CCND3	PPARG	->	reaction (Complex interaction)	Activation			
CCND3	PPARGC1A	->	reaction (Complex interaction)	Activation			
CCR1	GNA15	->	complex (Complex interaction)	Activation			
CD14	SARM1	->	complex; input; reaction (Complex interaction)	Activation			
CD14	TLR1	->	activate; complex; input	Activation			
CD14	TLR4	->	PPrel: activation; activate; complex; input	Activation			
CD14	TLR6	->	activate; complex; input	Activation			
CD177	PECAM1	->	complex; input (Complex interaction)	Activation			
CD180	CD14	-|	inhibited by (Target inhibits Source)	Inhibition			
CD180	TLR4	-|	inhibite	Inhibition			
CD24	L1CAM	->	complex; input (Complex interaction)	Activation			
CD274	HLA-DPA1	->	catalyze	Activation			
CD274	HLA-DPB1	->	catalyze	Activation			
CD274	HLA-DRA	->	catalyze	Activation			
CD274	HLA-DRB1	->	catalyze	Activation			
CD274	HLA-DRB5	->	catalyze	Activation			
CD274	PTPN6	->	complex; input (Complex interaction)	Activation			
CD59	SPTB	->	complex; input (Complex interaction)	Activation			
CD59	SPTBN5	->	complex; input (Complex interaction)	Activation			
CD74	HLA-DMA	->	input (Input/Compound interaction)	Activation			
CDH1	CDH11	->	input (Input/Compound interaction)	Activation			
CDH1	CDH19	->	input (Input/Compound interaction)	Activation			
CDH1	CDH4	->	input (Input/Compound interaction)	Activation			
CDH1	CELSR1	->	input (Input/Compound interaction)	Activation			
CDH1	EFNA1	->	activate	Activation			
