source	target	interaction	Annotation	Regulation
ANGPT1	GRB7	->	catalyze; complex; input	Activation
ANGPT1	KDR	->	PPrel: activation	Activation
ANGPT1	NGFR	->	PPrel: activation	Activation
ANGPT1	NTRK2	->	PPrel: activation	Activation
ANGPT1	PTPRB	->	activate	Activation
ANK1	CD44	->	PPrel: binding/association (Binding/Association)	Activation
ANK1	CD59	->	complex; input (Complex interaction)	Activation
ANK1	FOLR1	->	complex; input (Complex interaction)	Activation
ANK1	L1CAM	->	complex; input (Complex interaction)	Activation
ANK1	NRCAM	->	complex; input (Complex interaction)	Activation
ANK1	SCN5A	->	complex; input (Complex interaction)	Activation
ANK1	SPTB	->	complex; input (Complex interaction)	Activation
ANK1	SPTBN5	->	complex; input (Complex interaction)	Activation
ANK3	CD44	->	PPrel: binding/association (Binding/Association)	Activation
ANK3	CD59	->	complex; input (Complex interaction)	Activation
ANK3	FOLR1	->	complex; input (Complex interaction)	Activation
ANK3	SPTB	->	complex; input (Complex interaction)	Activation
ANK3	SPTBN5	->	complex; input (Complex interaction)	Activation
ANXA1	DYSF	->	complex; input (Complex interaction)	Activation
ANXA1	GNA15	->	complex; input (Complex interaction)	Activation
GPSM3	ANXA1	-|	inhibited by (Target inhibits Source)	Inhibition
STAT4	AOX1	->	GErel: expression by (Swapped)	Activation
AP1G2	HLA-A	->	PPrel: binding/association (Binding/Association)	Activation
AP1G2	HLA-B	->	PPrel: binding/association (Binding/Association)	Activation
AP1G2	HLA-F	->	PPrel: binding/association (Binding/Association)	Activation
AP1G2	HLA-G	->	PPrel: binding/association (Binding/Association)	Activation
AP1S3	CD74	->	complex; input (Complex interaction)	Activation
AP1S3	DNAJC6	->	input (Input/Compound interaction)	Activation
AP1S3	HLA-A	->	PPrel: binding/association; complex; reaction (Binding/Association)	Activation
AP1S3	HLA-B	->	PPrel: binding/association (Binding/Association)	Activation
AP1S3	HLA-DPA1	->	complex; input (Complex interaction)	Activation
AP1S3	HLA-DPB1	->	complex; input (Complex interaction)	Activation
AP1S3	HLA-DRA	->	complex; input (Complex interaction)	Activation
AP1S3	HLA-DRB1	->	complex; input (Complex interaction)	Activation
AP1S3	HLA-DRB5	->	complex; input (Complex interaction)	Activation
AP1S3	HLA-F	->	PPrel: binding/association (Binding/Association)	Activation
AP1S3	HLA-G	->	PPrel: binding/association (Binding/Association)	Activation
APBB1IP	ENAH	->	PPrel: activation	Activation
APBB1IP	FN1	->	complex; input (Complex interaction)	Activation
APBB1IP	ITGB3	->	complex; input (Complex interaction)	Activation
APBB1IP	PFN2	->	PPrel: activation	Activation
APLF	XRCC4	->	complex; input (Complex interaction)	Activation
APOBEC3G	HMGA1	-|	complex; inhibite; input	Inhibition
AQP3	AQP5	->	input (Input/Compound interaction)	Activation
ATF1	AQP3	->	expression regulated by (Swapped)	Activation
AR	CCND3	->	activate; complex; input	Activation
AR	ECM1	->	expression regulates	Activation
EGR1	AR	->	expression regulated by; reaction (Swapped)	Activation
AR	FOXO1	->	activate; inhibited by (Source activates Target)	Activation
FOXO1	AR	-|	activate; inhibited by (Target inhibits Source)	Inhibition
AR	GSN	->	reaction (Complex interaction)	Activation
AR	HEY1	->	complex; input (Complex interaction)	Activation
AR	HIP1	->	reaction (Complex interaction)	Activation
AR	JUN	->	reaction (Complex interaction)	Activation
AR	LCP1	->	expression regulates	Activation
AR	MYC	->	expression regulates	Activation
AR	NR3C1	->	complex; input (Complex interaction)	Activation
AR	NR3C2	->	input (Input/Compound interaction)	Activation
AR	PGC	->	expression regulates	Activation
AR	PLAU	->	expression regulates	Activation
AR	PTK2B	->	activate; inhibited by (Source activates Target)	Activation
PTK2B	AR	-|	activate; inhibited by (Target inhibits Source)	Inhibition
SMAD3	AR	->	complex; expression regulated by; input (Swapped)	Activation
AR	SPDEF	->	reaction (Complex interaction)	Activation
AR	TCF4	->	activate; inhibited by (Source activates Target)	Activation
TCF4	AR	-|	activate; inhibited by (Target inhibits Source)	Inhibition
AR	TCF7L2	->	input (Input/Compound interaction)	Activation
ZMIZ1	AR	->	activated by (Swapped)	Activation
JUN	ARHGAP24	->	expression regulated by (Swapped)	Activation
ARHGAP31	RHOU	->	complex; input (Complex interaction)	Activation
ARHGAP32	NGF	->	complex; input (Complex interaction)	Activation
ARHGAP32	RHOD	->	catalyze	Activation
ARHGDIB	NGFR	->	PPrel: binding/association (Binding/Association)	Activation
ARHGEF16	RHOB	->	catalyze	Activation
ARHGEF4	RAC3	->	PPrel: activation	Activation
ARHGEF4	RHOB	->	catalyze	Activation
ARHGEF5	RHOB	->	catalyze	Activation
ARHGEF6	DAG1	->	complex (Complex interaction)	Activation
ARHGEF6	DMD	->	complex (Complex interaction)	Activation
ARHGEF6	LAMA1	->	complex; input (Complex interaction)	Activation
ARHGEF6	LAMA3	->	complex; input (Complex interaction)	Activation
ARHGEF6	LAMA5	->	complex; input (Complex interaction)	Activation
PAK2	ARHGEF6	->	PPrel: phosphorylated by; complex (Swapped)	Activation
PAK6	ARHGEF6	->	PPrel: phosphorylated by; complex (Swapped)	Activation
ARHGEF6	RAC3	->	PPrel: activation	Activation
ARHGEF6	RHOB	->	catalyze	Activation
ARL6IP5	SLC1A1	-|	inhibit	Inhibition
ARL6IP5	SLC1A3	-|	inhibit	Inhibition
ARL6IP5	SLC1A7	-|	inhibite	Inhibition
ASAH1	PDGFA	->	reaction (Complex interaction)	Activation
CAMK1D	ATF1	->	PPrel: activated by, phosphorylation (Swapped)	Activation
CAMK2D	ATF1	->	PPrel: activated by, phosphorylation (Swapped)	Activation
ATF1	CGA	->	expression regulates	Activation
ATF1	CIITA	->	expression regulates	Activation
ATF1	CREB3L1	->	complex (Complex interaction)	Activation
ATF1	EGR1	->	expression regulates; reaction	Activation
ATF1	FLT1	->	expression regulates	Activation
ATF1	HLA-G	->	expression regulates	Activation
ATF1	IL1B	->	expression regulates	Activation
ATF1	IL6	->	expression regulates	Activation
ATF1	INHBA	->	expression regulates	Activation
ATF1	JUN	->	expression regulates	Activation
MYC	ATF1	->	expression regulated by (Swapped)	Activation
ATF1	NT5E	->	expression regulates	Activation
RPS6KA5	ATF1	->	activated by; catalyzed by (Swapped)	Activation
ATF1	SLC20A1	->	expression regulates	Activation
ATF1	TGFB2	->	expression regulates	Activation
ATF1	VIPR1	->	expression regulates	Activation
TCF7L2	ATOH8	->	expression regulated by (Swapped)	Activation
ATP1A3	ATP1B1	->	complex; reaction (Input/Compound interaction)	Activation
KL	ATP1A3	->	PCrel: activated by (Swapped)	Activation
NR3C2	ATP1A3	->	GErel: expression by (Swapped)	Activation
PRKG1	ATP1A3	->	PPrel: activated by (Swapped)	Activation
KL	ATP1B1	->	PCrel: activated by (Swapped)	Activation
NR3C2	ATP1B1	->	GErel: expression by (Swapped)	Activation
PRKG1	ATP1B1	->	PPrel: activated by (Swapped)	Activation
PRKG1	ATP2B4	->	PPrel: activated by (Swapped)	Activation
ATP6AP1	ATP6V0A4	->	complex; input (Complex interaction)	Activation
ATP6AP1	ATP6V0D2	->	complex; input (Complex interaction)	Activation
ATP6AP1	ATP6V0E1	->	complex; input (Complex interaction)	Activation
ATP6AP1	PRKCG	->	PPrel: binding/association (Binding/Association)	Activation
ATP6V0A4	ATP6V0D2	->	complex (Complex interaction)	Activation
ATP6V0A4	ATP6V0E1	->	complex (Complex interaction)	Activation
ATP6V0D2	ATP6V0E1	->	complex (Complex interaction)	Activation
JUN	ATP8B1	->	expression regulated by (Swapped)	Activation
AXIN2	LEF1	->	GErel: expression by; PPrel: activation (Bidirectional Activation)	Activation
LEF1	AXIN2	->	GErel: expression by; PPrel: activation (Bidirectional Activation)	Activation
AXIN2	TCF7	->	GErel: expression by; PPrel: activation (Bidirectional Activation)	Activation
TCF7	AXIN2	->	GErel: expression by; PPrel: activation (Bidirectional Activation)	Activation
AXIN2	TCF7L2	->	GErel: expression by; PPrel: activation; expression regulated by (Bidirectional Activation)	Activation
TCF7L2	AXIN2	->	GErel: expression by; PPrel: activation; expression regulated by (Bidirectional Activation)	Activation
B3GNT3	LUM	->	catalyze	Activation
B3GNT7	LUM	->	catalyze	Activation
B4GALT4	LUM	->	catalyze	Activation
BID	BAK1	->	PPrel: activated by; complex; input (Swapped)	Activation
JUN	BATF3	->	activated by; complex; input (Swapped)	Activation
NFATC1	BATF3	->	activated by; complex; input (Swapped)	Activation
PTPN6	BATF3	->	GErel: expression, indirect effect (Swapped)	Activation
ETV4	BCHE	->	expression regulated by (Swapped)	Activation
JUN	BCHE	->	expression regulated by (Swapped)	Activation
FOXO1	BCL2L11	->	GErel: expression by (Swapped)	Activation
JUN	BCL2L11	->	GErel: expression by (Swapped)	Activation
MYC	BCL2L11	->	expression regulated by (Swapped)	Activation
GATA2	BEND3	->	expression regulated by (Swapped)	Activation
EGR1	BHLHE40	->	expression regulated by (Swapped)	Activation
BHLHE40	ID1	->	expression regulates	Activation
MEF2C	BHLHE40	->	expression regulated by (Swapped)	Activation
BHLHE40	NR1D1	->	expression regulates	Activation
NR3C1	BHLHE40	->	expression regulated by (Swapped)	Activation
TCF7L2	BHLHE40	->	expression regulated by (Swapped)	Activation
BHLHE40	ZNF175	->	expression regulates	Activation
BIRC3	BID	->	activated by (Swapped)	Activation
CRADD	BID	->	activated by (Swapped)	Activation
CTSC	BID	->	PPrel: activated by (Swapped)	Activation
CTSS	BID	->	PPrel: activated by (Swapped)	Activation
BID	GSN	->	activate; inhibited by (Source activates Target)	Activation
GSN	BID	-|	activate; inhibited by (Target inhibits Source)	Inhibition
MADD	BID	->	activated by (Swapped)	Activation
TNFRSF1A	BID	->	activated by (Swapped)	Activation
BIRC3	CD14	->	catalyze	Activation
BIRC3	CD40	->	complex; input; reaction (Complex interaction)	Activation
CFLAR	BIRC3	->	activated by; inhibite (Target activates Source)	Activation
BIRC3	CFLAR	-|	activated by; inhibite (Source inhibits Target)	Inhibition
BIRC3	CRADD	->	complex; input (Complex interaction)	Activation
CTSC	BIRC3	-|	PPrel: inhibited by (Target inhibits Source)	Inhibition
CTSS	BIRC3	-|	PPrel: inhibited by (Target inhibits Source)	Inhibition
LEF1	BIRC3	->	GErel: expression by (Swapped)	Activation
BIRC3	MADD	->	complex; input (Complex interaction)	Activation
BIRC3	RIPK2	->	PPrel: activation, ubiquitination	Activation
BIRC3	SMPD1	->	activate	Activation
BIRC3	SMPD3	->	activate	Activation
TCF7	BIRC3	->	GErel: expression by (Swapped)	Activation
TCF7L2	BIRC3	->	GErel: expression by (Swapped)	Activation
BIRC3	TLR4	->	catalyze	Activation
BIRC3	TNFAIP3	->	activate; catalyzed by; complex; inhibited by; input	Activation
BIRC3	TNFRSF1A	->	PPrel: activated by; activated by; catalyze; catalyzed by; complex; input; reaction (Bidirectional Activation)	Activation
TNFRSF1A	BIRC3	->	PPrel: activated by; activated by; catalyze; catalyzed by; complex; input; reaction (Bidirectional Activation)	Activation
BIRC3	TNFRSF1B	->	complex; input; reaction (Complex interaction)	Activation
TNFSF10	BIRC3	->	activated by (Swapped)	Activation
BMP1	COL27A1	->	catalyze	Activation
BMP1	COL3A1	->	catalyze	Activation
BMP1	COL5A1	->	catalyze	Activation
BMP1	HSPG2	->	catalyze	Activation
BMP1	LAMA3	->	catalyze	Activation
BMP1	LAMC2	->	catalyze	Activation
BMP1	LOX	->	catalyze	Activation
BMP1	LOXL1	->	catalyze	Activation
BMP5	BMPR1B	->	PPrel: activation	Activation
NOG	BMP5	-|	PPrel: inhibited by (Target inhibits Source)	Inhibition
BMP6	BMPR1B	->	PPrel: activation; complex; input	Activation
NOG	BMP6	-|	PPrel: inhibited by (Target inhibits Source)	Inhibition
BMPR1B	CHRDL1	->	input (Input/Compound interaction)	Activation
BMPR1B	FST	->	complex; input (Complex interaction)	Activation
INHBB	BMPR1B	->	PPrel: activated by (Swapped)	Activation
BMPR1B	MAPK13	-|	PPrel: inhibition, indirect effect	Inhibition
BMPR1B	NOG	->	input (Input/Compound interaction)	Activation
BMPR1B	RAC3	->	PPrel: activation, indirect effect	Activation
BMPR1B	RGMB	->	PPrel: binding/association; complex; input (Binding/Association)	Activation
SMAD3	BMPR1B	->	PPrel: activated by, phosphorylation (Swapped)	Activation
BMPR1B	SMAD6	->	activate; complex; inhibited by; input (Source activates Target)	Activation
SMAD6	BMPR1B	-|	activate; complex; inhibited by; input (Target inhibits Source)	Inhibition
BMPR1B	SMAD7	->	complex; input (Complex interaction)	Activation
CITED2	BNIP3L	-|	GErel: repressed by (Target inhibits Source)	Inhibition
BNIP3L	GABARAPL1	->	PPrel: binding/association (Binding/Association)	Activation
BNIP3L	STEAP3	->	complex; input (Complex interaction)	Activation
MYC	BRIP1	->	expression regulated by (Swapped)	Activation
GATA2	BTG2	->	expression regulated by (Swapped)	Activation
C2	C4BPB	->	complex; input (Complex interaction)	Activation
GPSM3	C3AR1	-|	inhibited by (Target inhibits Source)	Inhibition
CAMK2D	CACNA2D1	->	PPrel: activated by, phosphorylation (Swapped)	Activation
PPP2R2C	CACNA2D1	-|	PPrel: inhibited by, dephosphorylation (Target inhibits Source)	Inhibition
PPP2R3A	CACNA2D1	-|	PPrel: inhibited by, dephosphorylation (Target inhibits Source)	Inhibition
CACNA2D1	RASGRF2	->	PPrel: compound (Input/Compound interaction)	Activation
CACNA2D1	RASGRP1	->	PPrel: compound (Input/Compound interaction)	Activation
CACNA2D1	RASGRP2	->	PPrel: compound (Input/Compound interaction)	Activation
CAMK2D	CACNB4	->	PPrel: activated by, phosphorylation (Swapped)	Activation
PPP2R2C	CACNB4	-|	PPrel: inhibited by, dephosphorylation (Target inhibits Source)	Inhibition
PPP2R3A	CACNB4	-|	PPrel: inhibited by, dephosphorylation (Target inhibits Source)	Inhibition
CACNB4	RASGRF2	->	PPrel: compound (Input/Compound interaction)	Activation
CACNB4	RASGRP1	->	PPrel: compound (Input/Compound interaction)	Activation
CACNB4	RASGRP2	->	PPrel: compound (Input/Compound interaction)	Activation
CAMK2D	CACNG4	->	PPrel: activated by, phosphorylation; catalyzed by (Swapped)	Activation
CACNG4	EPB41L1	->	input (Input/Compound interaction)	Activation
PPP2R2C	CACNG4	-|	PPrel: inhibited by, dephosphorylation (Target inhibits Source)	Inhibition
PPP2R3A	CACNG4	-|	PPrel: inhibited by, dephosphorylation (Target inhibits Source)	Inhibition
CACNG4	RASGRF2	->	PPrel: compound (Input/Compound interaction)	Activation
CACNG4	RASGRP1	->	PPrel: compound (Input/Compound interaction)	Activation
CACNG4	RASGRP2	->	PPrel: compound (Input/Compound interaction)	Activation
CAMK2D	CACNG6	->	PPrel: activated by, phosphorylation (Swapped)	Activation
PPP2R2C	CACNG6	-|	PPrel: inhibited by, dephosphorylation (Target inhibits Source)	Inhibition
PPP2R3A	CACNG6	-|	PPrel: inhibited by, dephosphorylation (Target inhibits Source)	Inhibition
CACNG6	RASGRF2	->	PPrel: compound (Input/Compound interaction)	Activation
CACNG6	RASGRP1	->	PPrel: compound (Input/Compound interaction)	Activation
CACNG6	RASGRP2	->	PPrel: compound (Input/Compound interaction)	Activation
CAMK2D	CACNG7	->	PPrel: activated by, phosphorylation (Swapped)	Activation
PPP2R2C	CACNG7	-|	PPrel: inhibited by, dephosphorylation (Target inhibits Source)	Inhibition
PPP2R3A	CACNG7	-|	PPrel: inhibited by, dephosphorylation (Target inhibits Source)	Inhibition
CACNG7	RASGRF2	->	PPrel: compound (Input/Compound interaction)	Activation
CACNG7	RASGRP1	->	PPrel: compound (Input/Compound interaction)	Activation
CACNG7	RASGRP2	->	PPrel: compound (Input/Compound interaction)	Activation
CAMK2D	CACNG8	->	PPrel: activated by, phosphorylation; catalyzed by (Swapped)	Activation
CACNG8	EPB41L1	->	input (Input/Compound interaction)	Activation
PPP2R2C	CACNG8	-|	PPrel: inhibited by, dephosphorylation (Target inhibits Source)	Inhibition
PPP2R3A	CACNG8	-|	PPrel: inhibited by, dephosphorylation (Target inhibits Source)	Inhibition
CACNG8	RASGRF2	->	PPrel: compound (Input/Compound interaction)	Activation
CACNG8	RASGRP1	->	PPrel: compound (Input/Compound interaction)	Activation
CACNG8	RASGRP2	->	PPrel: compound (Input/Compound interaction)	Activation
JUN	CALCR	->	GErel: expression by (Swapped)	Activation
NFATC1	CALCR	->	GErel: expression by (Swapped)	Activation
CALCR	RAMP1	->	complex (Complex interaction)	Activation
CAMK1D	CREB3L1	->	PPrel: activation, phosphorylation	Activation
CAMK2D	CREB3L1	->	PPrel: activation; PPrel: activation, phosphorylation	Activation
CAMK2D	EPB41L1	->	catalyze	Activation
CAMK2D	FLNB	->	PPrel: phosphorylation	Activation
CAMK2D	FLNC	->	PPrel: phosphorylation	Activation
CAMK2D	FOXO1	->	PPrel: activation, phosphorylation, indirect effect	Activation
CAMK2D	IFNGR2	->	catalyze	Activation
CAMK2D	JAK1	->	activated by; catalyze (Bidirectional Activation)	Activation
JAK1	CAMK2D	->	activated by; catalyze (Bidirectional Activation)	Activation
CAMK2D	MEF2C	->	activate	Activation
CAMK2D	PDE10A	-|	PPrel: inhibition, phosphorylation	Inhibition
CAMK2D	PDE3A	-|	PPrel: inhibition, phosphorylation	Inhibition
CAMK2D	PDE3B	-|	PPrel: inhibition, phosphorylation	Inhibition
CAMK2D	PLCG1	->	PPrel: compound (Input/Compound interaction)	Activation
PPM1F	CAMK2D	->	catalyzed by (Swapped)	Activation
CAMK2D	TLE1	->	activate	Activation
PLEKHA7	CAMSAP3	->	activated by (Swapped)	Activation
CARD11	MALT1	->	complex; input (Complex interaction)	Activation
RIPK2	CARD11	->	catalyzed by (Swapped)	Activation
CASK	CLIC5	->	complex (Complex interaction)	Activation
CASK	EPB41L1	->	complex (Complex interaction)	Activation
CASK	GSN	->	complex (Complex interaction)	Activation
CASK	MPP1	->	complex (Complex interaction)	Activation
CASK	MSN	->	complex (Complex interaction)	Activation
CASK	MYO7A	->	complex (Complex interaction)	Activation
CASK	NRXN3	->	complex; input (Complex interaction)	Activation
CASK	PPFIA2	->	activate	Activation
CASK	RAB3A	->	activate	Activation
CASK	RIMS1	->	activate	Activation
CASK	SDC2	->	complex; input (Complex interaction)	Activation
CASK	SDC3	->	complex; input (Complex interaction)	Activation
CASK	UNC13B	->	activate	Activation
CAV1	COL12A1	->	complex; input (Complex interaction)	Activation
CAV1	COL17A1	->	complex; input (Complex interaction)	Activation
CAV1	COL27A1	->	complex; input (Complex interaction)	Activation
CAV1	COL3A1	->	complex; input (Complex interaction)	Activation
CAV1	COL4A3	->	complex; input (Complex interaction)	Activation
CAV1	COL4A4	->	complex; input (Complex interaction)	Activation
CAV1	COL4A5	->	complex; input (Complex interaction)	Activation
