Gene1	Gene2	Annotation	Direction	Score
ACTC1	CDH4	complex; input	-	1.0
ACTC1	CELSR1	complex; input	-	1.0
ACTC1	DNM1L	predicted	-	0.94
ACTC1	HIP1	complex; input	-	1.0
ACTC1	JUP	complex	-	1.0
ACTC1	MMP15	catalyzed by	<-	1.0
ACTC1	MMP8	catalyzed by	<-	1.0
ACTC1	MYO18A	predicted	-	0.92
ACTC1	NFATC1	catalyzed by	<-	1.0
ACTC1	NFATC4	catalyzed by	<-	1.0
ACTC1	PCDH1	complex; input	-	1.0
ACTC1	PCDH7	complex; input	-	1.0
ACTC1	PCDH9	complex; input	-	1.0
ACTC1	RHOJ	catalyzed by	<-	1.0
ACTC1	SH3KBP1	predicted	-	0.91
ACTR3C	CYFIP2	PPrel: activated by	<-	1.0
ACTR3C	WASF3	PPrel: activated by	<-	1.0
ACVR1C	INHBA	PPrel: activated by; complex; input	<-	1.0
ACVR1C	INHBB	PPrel; PPrel: activated by; complex; input	<-	1.0
ACVR1C	SMAD3	PPrel: activation; PPrel: activation, phosphorylation; catalyze	->	1.0
ACVR1C	TCF7L2	expression regulated by	<-	1.0
ADAM12	COL5A1	predicted	-	0.94
ADAMTS12	ADAMTS7	predicted	-	0.96
ADAMTS3	COL27A1	catalyze	->	1.0
ADAMTS3	COL3A1	catalyze	->	1.0
ADAMTS3	COL5A1	catalyze	->	1.0
ADAMTS7	POFUT2	catalyzed by	<-	1.0
ADAMTSL4	POFUT2	catalyzed by	<-	1.0
ADIRF	EGR1	expression regulated by	<-	1.0
ADIRF	PBX3	expression regulated by	<-	1.0
ADIRF	POU2F2	expression regulated by	<-	1.0
ADM	CALCR	PPrel: activation	->	1.0
ADM	RAMP1	PPrel: activation	->	1.0
ADORA1	EDN1	PPrel: activated by	<-	1.0
ADORA1	EDN2	PPrel: activated by	<-	1.0
ADORA1	EGR1	expression regulated by	<-	1.0
ADORA1	GPSM3	inhibited by	|-	1.0
ADRA1B	CXCR4	predicted	-	0.93
ADRA1B	EDN1	complex; input	-	1.0
ADRA1B	GNA15	PPrel: activation; complex; input	->	1.0
ADRA1B	TGM2	activate	->	1.0
ADRB2	DNAJC6	complex; input	-	1.0
ADRB2	EDN1	PPrel: activated by; complex; reaction	<-	1.0
ADRB2	EDN2	PPrel: activated by	<-	1.0
ADRB2	HIP1	complex; input	-	1.0
ADRB2	HIP1R	complex; input	-	1.0
ADRB2	ITSN1	complex; input	-	1.0
ADRB2	SLC9A3R1	complex; reaction	-	1.0
ADRB2	SYNJ1	complex; input	-	1.0
ADRB2	SYNJ2	complex; input	-	1.0
ADRB2	USP33	complex	-	1.0
AFAP1L2	EGR1	expression regulated by	<-	1.0
AFAP1L2	JUN	expression regulated by	<-	1.0
AFAP1L2	MEF2C	expression regulated by	<-	1.0
AGR2	MEF2C	expression regulated by	<-	1.0
AGRN	DAG1	PPrel: activation; complex; input	->	1.0
AGRN	FURIN	catalyzed by	<-	1.0
AGRN	GLCE	catalyzed by	<-	1.0
AGRN	HS3ST5	catalyzed by	<-	1.0
AGRN	LAMA1	complex; input	-	1.0
AGRN	LAMA3	complex; input	-	1.0
AGRN	LAMA5	complex; input	-	1.0
AGRN	LAMB2	complex; input	-	1.0
AGRN	LRP1	catalyzed by	<-	1.0
AGRN	LRP4	complex; input	-	1.0
AGRN	MUSK	complex; input	-	1.0
AGRN	MYC	expression regulated by	<-	1.0
AGRN	PTPRS	complex; input	-	1.0
AHCYL2	SLC4A4	activate	->	1.0
AHRR	CYP1A1	inhibit	-|	1.0
AKAP5	CACNG4	input	-	1.0
AKAP5	CACNG8	input	-	1.0
AKAP5	CAMK2D	catalyzed by	<-	1.0
AKAP5	EPB41L1	input	-	1.0
AKAP5	ROBO3	complex; input	-	1.0
AKR1B1	EGR1	expression regulated by	<-	1.0
AKR1B1	SMAD3	expression regulated by	<-	1.0
AKR1C1	AKR1C3	predicted	-	0.95
AKR1C3	MYC	expression regulated by	<-	1.0
ALCAM	L1CAM	complex; input	-	1.0
ALDH1A3	SH3KBP1	predicted	-	0.91
ALDH3A2	CYB5A	catalyze; catalyzed by; input	<->	1.0
ANGPT1	ERBB3	PPrel: activation	->	1.0
ANGPT1	ERBB4	PPrel: activation	->	1.0
ANGPT1	FGFR2	PPrel: activation	->	1.0
ANGPT1	FLT1	PPrel: activation	->	1.0
ANGPT1	FN1	activated by	<-	1.0
ANGPT1	FOXO1	activated by; inhibite	<-|	1.0
ANGPT1	GRB14	catalyze; complex; input	->	1.0
ANGPT1	GRB7	catalyze; complex; input	->	1.0
ANGPT1	KDR	PPrel: activation	->	1.0
ANGPT1	NGFR	PPrel: activation	->	1.0
ANGPT1	NTRK2	PPrel: activation	->	1.0
ANGPT1	PTPRB	activate	->	1.0
ANK1	CD44	PPrel: binding/association	-	1.0
ANK1	CD59	complex; input	-	1.0
ANK1	FOLR1	complex; input	-	1.0
ANK1	L1CAM	complex; input	-	1.0
ANK1	NRCAM	complex; input	-	1.0
ANK1	SCN5A	complex; input	-	1.0
ANK1	SPTB	complex; input	-	1.0
ANK1	SPTBN5	complex; input	-	1.0
ANK3	CD44	PPrel: binding/association	-	1.0
ANK3	CD59	complex; input	-	1.0
ANK3	FOLR1	complex; input	-	1.0
ANK3	SPTB	complex; input	-	1.0
ANK3	SPTBN5	complex; input	-	1.0
ANK3	TNIK	predicted	-	0.91
ANXA1	DYSF	complex; input	-	1.0
ANXA1	GNA15	complex; input	-	1.0
ANXA1	GPSM3	inhibited by	|-	1.0
ANXA1	TGM2	predicted	-	0.92
AOX1	STAT4	GErel: expression by	<-	1.0
AP1G2	AP1S3	predicted	-	0.98
AP1G2	HLA-A	PPrel: binding/association	-	1.0
AP1G2	HLA-B	PPrel: binding/association	-	1.0
AP1G2	HLA-F	PPrel: binding/association	-	1.0
AP1G2	HLA-G	PPrel: binding/association	-	1.0
AP1S3	CD74	complex; input	-	1.0
AP1S3	DNAJC6	input	-	1.0
AP1S3	HLA-A	PPrel: binding/association; complex; reaction	-	1.0
AP1S3	HLA-B	PPrel: binding/association	-	1.0
AP1S3	HLA-DPA1	complex; input	-	1.0
AP1S3	HLA-DPB1	complex; input	-	1.0
AP1S3	HLA-DRA	complex; input	-	1.0
AP1S3	HLA-DRB1	complex; input	-	1.0
AP1S3	HLA-DRB5	complex; input	-	1.0
AP1S3	HLA-F	PPrel: binding/association	-	1.0
AP1S3	HLA-G	PPrel: binding/association	-	1.0
APBB1IP	ENAH	PPrel: activation	->	1.0
APBB1IP	FN1	complex; input	-	1.0
APBB1IP	ITGB3	complex; input	-	1.0
APBB1IP	PFN2	PPrel: activation	->	1.0
APLF	XRCC4	complex; input	-	1.0
APLP1	DAB2	predicted	-	0.93
APOBEC3C	APOBEC3D	predicted	-	0.96
APOBEC3C	APOBEC3G	predicted	-	0.92
APOBEC3D	APOBEC3F	predicted	-	0.91
APOBEC3D	APOBEC3G	predicted	-	0.91
APOBEC3F	APOBEC3G	predicted	-	0.99
APOBEC3G	HMGA1	complex; inhibite; input	-|	1.0
AQP3	AQP5	input	-	1.0
AQP3	ATF1	expression regulated by	<-	1.0
AR	CCND3	activate; complex; input	->	1.0
AR	ECM1	expression regulates	->	1.0
AR	EGR1	expression regulated by; reaction	<-	1.0
AR	ERBB3	predicted	-	0.92
AR	FOXO1	activate; inhibited by	|->	1.0
AR	GSN	reaction	-	1.0
AR	HEY1	complex; input	-	1.0
AR	HIP1	reaction	-	1.0
AR	JUN	reaction	-	1.0
AR	LCP1	expression regulates	->	1.0
AR	MYC	expression regulates	->	1.0
AR	NR3C1	complex; input	-	1.0
AR	NR3C2	input	-	1.0
AR	PGC	expression regulates	->	1.0
AR	PLAU	expression regulates	->	1.0
AR	PTK2B	activate; inhibited by	|->	1.0
AR	SMAD3	complex; expression regulated by; input	<-	1.0
AR	SPDEF	reaction	-	1.0
AR	SQSTM1	predicted	-	0.92
AR	TCF4	activate; inhibited by	|->	1.0
AR	TCF7L2	input	-	1.0
AR	ZMIZ1	activated by	<-	1.0
ARHGAP22	ARHGAP24	predicted	-	0.96
ARHGAP22	ARHGAP9	predicted	-	0.91
ARHGAP22	GMIP	predicted	-	0.95
ARHGAP24	ARHGAP9	predicted	-	0.91
ARHGAP24	GMIP	predicted	-	0.94
ARHGAP24	JUN	expression regulated by	<-	1.0
ARHGAP29	GMIP	predicted	-	0.93
ARHGAP31	RHOU	complex; input	-	1.0
ARHGAP32	NGF	complex; input	-	1.0
ARHGAP32	RAC3	predicted	-	0.96
ARHGAP32	RHOD	catalyze	->	1.0
ARHGAP9	LPXN	predicted	-	0.92
ARHGAP9	SYDE2	predicted	-	0.91
ARHGDIB	NGFR	PPrel: binding/association	-	1.0
ARHGDIB	RHOD	predicted	-	0.9
ARHGEF16	RHOB	catalyze	->	1.0
ARHGEF4	RAC3	PPrel: activation	->	1.0
ARHGEF4	RHOB	catalyze	->	1.0
ARHGEF5	RHOB	catalyze	->	1.0
ARHGEF6	DAG1	complex	-	1.0
ARHGEF6	DMD	complex	-	1.0
ARHGEF6	LAMA1	complex; input	-	1.0
ARHGEF6	LAMA3	complex; input	-	1.0
ARHGEF6	LAMA5	complex; input	-	1.0
ARHGEF6	NCK2	predicted	-	0.93
ARHGEF6	PAK2	PPrel: phosphorylated by; complex	<-	1.0
ARHGEF6	PAK6	PPrel: phosphorylated by; complex	<-	1.0
ARHGEF6	RAC3	PPrel: activation	->	1.0
ARHGEF6	RHOB	catalyze	->	1.0
ARL6IP5	RHOB	predicted	-	0.91
ARL6IP5	SLC1A1	inhibit	-|	1.0
ARL6IP5	SLC1A3	inhibit	-|	1.0
ARL6IP5	SLC1A7	inhibite	-|	1.0
ARRDC4	NEDD4L	predicted	-	0.91
ARSJ	ARSK	predicted	-	0.9
ASAH1	PDGFA	reaction	-	1.0
ASAH1	SMPD1	predicted; reaction	-	1.0
ATF1	CAMK1D	PPrel: activated by, phosphorylation	<-	1.0
ATF1	CAMK2D	PPrel: activated by, phosphorylation	<-	1.0
ATF1	CGA	expression regulates	->	1.0
ATF1	CIITA	expression regulates	->	1.0
ATF1	CREB3L1	complex	-	1.0
ATF1	EGR1	expression regulates; reaction	->	1.0
ATF1	FLT1	expression regulates	->	1.0
ATF1	HLA-G	expression regulates	->	1.0
ATF1	IL1B	expression regulates	->	1.0
ATF1	IL6	expression regulates	->	1.0
ATF1	INHBA	expression regulates	->	1.0
ATF1	JUN	expression regulates	->	1.0
ATF1	MYC	expression regulated by	<-	1.0
ATF1	NT5E	expression regulates	->	1.0
ATF1	RPS6KA5	activated by; catalyzed by	<-	1.0
ATF1	SLC20A1	expression regulates	->	1.0
ATF1	TGFB2	expression regulates	->	1.0
ATF1	VIPR1	expression regulates	->	1.0
ATG4A	GABARAPL1	PPrel: activation; PPrel: inhibition	-	1.0
ATG4A	ULK2	predicted	-	0.9
ATOH8	TCF7L2	expression regulated by	<-	1.0
ATP13A3	SLC10A7	predicted	-	0.91
ATP1A3	ATP1B1	complex; reaction	-	1.0
ATP1A3	KL	PCrel: activated by	<-	1.0
ATP1A3	NR3C2	GErel: expression by	<-	1.0
ATP1A3	PRKG1	PPrel: activated by	<-	1.0
ATP1A3	PRNP	predicted	-	0.91
ATP1B1	KL	PCrel: activated by	<-	1.0
ATP1B1	NR3C2	GErel: expression by	<-	1.0
ATP1B1	PRKG1	PPrel: activated by	<-	1.0
ATP2B4	PRKG1	PPrel: activated by	<-	1.0
ATP2B4	SNTA1	predicted	-	0.91
ATP2B4	STIM1	predicted	-	0.91
ATP6AP1	ATP6V0A4	complex; input	-	1.0
ATP6AP1	ATP6V0D2	complex; input	-	1.0
ATP6AP1	ATP6V0E1	complex; input	-	1.0
ATP6AP1	PRKCG	PPrel: binding/association	-	1.0
ATP6V0A4	ATP6V0D2	complex	-	1.0
ATP6V0A4	ATP6V0E1	complex	-	1.0
ATP6V0D2	ATP6V0E1	complex	-	1.0
ATP8B1	JUN	expression regulated by	<-	1.0
AXIN2	LEF1	GErel: expression by; PPrel: activation	<->	1.0
AXIN2	SMAD7	predicted	-	0.91
AXIN2	TCF7	GErel: expression by; PPrel: activation	<->	1.0
AXIN2	TCF7L2	GErel: expression by; PPrel: activation; expression regulated by	<->	1.0
B3GNT3	LUM	catalyze	->	1.0
B3GNT7	LUM	catalyze	->	1.0
B4GALT4	LUM	catalyze	->	1.0
BACH2	BATF3	predicted	-	0.94
BAK1	BCL2L11	predicted	-	0.92
BAK1	BID	PPrel: activated by; complex; input	<-	1.0
BATF3	JUN	activated by; complex; input	<-	1.0
BATF3	NFATC1	activated by; complex; input	<-	1.0
BATF3	PTPN6	GErel: expression, indirect effect	<-	1.0
BCHE	ETV4	expression regulated by	<-	1.0
BCHE	JUN	expression regulated by	<-	1.0
BCL2L11	FOXO1	GErel: expression by	<-	1.0
BCL2L11	JUN	GErel: expression by	<-	1.0
BCL2L11	MYC	expression regulated by	<-	1.0
BEND3	GATA2	expression regulated by	<-	1.0
BHLHE40	EGR1	expression regulated by	<-	1.0
BHLHE40	HES2	predicted	-	0.92
BHLHE40	HES7	predicted	-	0.92
BHLHE40	ID1	expression regulates	->	1.0
BHLHE40	MEF2C	expression regulated by	<-	1.0
BHLHE40	NR1D1	expression regulates	->	1.0
BHLHE40	NR3C1	expression regulated by	<-	1.0
BHLHE40	RORB	predicted	-	0.91
BHLHE40	TCF7L2	expression regulated by	<-	1.0
BHLHE40	ZNF175	expression regulates	->	1.0
BID	BIRC3	activated by	<-	1.0
BID	CRADD	activated by	<-	1.0
BID	CTSC	PPrel: activated by	<-	1.0
BID	CTSS	PPrel: activated by	<-	1.0
BID	GSN	activate; inhibited by	|->	1.0
BID	MADD	activated by	<-	1.0
BID	TNFRSF1A	activated by	<-	1.0
BIRC3	CD14	catalyze	->	1.0
BIRC3	CD40	complex; input; reaction	-	1.0
BIRC3	CFLAR	activated by; inhibite	<-|	1.0
BIRC3	CRADD	complex; input	-	1.0
BIRC3	CTSC	PPrel: inhibited by	|-	1.0
BIRC3	CTSS	PPrel: inhibited by	|-	1.0
BIRC3	LEF1	GErel: expression by	<-	1.0
BIRC3	MADD	complex; input	-	1.0
BIRC3	RIPK2	PPrel: activation, ubiquitination	->	1.0
BIRC3	SMPD1	activate	->	1.0
BIRC3	SMPD3	activate	->	1.0
BIRC3	TCF7	GErel: expression by	<-	1.0
BIRC3	TCF7L2	GErel: expression by	<-	1.0
BIRC3	TLR4	catalyze	->	1.0
BIRC3	TNFAIP3	activate; catalyzed by; complex; inhibited by; input	->	1.0
BIRC3	TNFRSF1A	PPrel: activated by; activated by; catalyze; catalyzed by; complex; input; reaction	<->	1.0
BIRC3	TNFRSF1B	complex; input; reaction	-	1.0
BIRC3	TNFSF10	activated by	<-	1.0
BMP1	COL27A1	catalyze	->	1.0
BMP1	COL3A1	catalyze	->	1.0
BMP1	COL5A1	catalyze	->	1.0
BMP1	HSPG2	catalyze	->	1.0
BMP1	LAMA3	catalyze	->	1.0
BMP1	LAMC2	catalyze	->	1.0
BMP1	LOX	catalyze	->	1.0
BMP1	LOXL1	catalyze	->	1.0
BMP5	BMPR1B	PPrel: activation	->	1.0
BMP5	NOG	PPrel: inhibited by	|-	1.0
BMP6	BMPR1B	PPrel: activation; complex; input	->	1.0
BMP6	NOG	PPrel: inhibited by	|-	1.0
BMPR1B	CHRDL1	input	-	1.0
BMPR1B	FST	complex; input	-	1.0
BMPR1B	INHBB	PPrel: activated by	<-	1.0
BMPR1B	MAPK13	PPrel: inhibition, indirect effect	-|	1.0
BMPR1B	NOG	input	-	1.0
BMPR1B	RAC3	PPrel: activation, indirect effect	->	1.0
BMPR1B	RGMB	PPrel: binding/association; complex; input	-	1.0
BMPR1B	SMAD3	PPrel: activated by, phosphorylation	<-	1.0
BMPR1B	SMAD6	activate; complex; inhibited by; input	|->	1.0
BMPR1B	SMAD7	complex; input	-	1.0
BNIP3L	CITED2	GErel: repressed by	|-	1.0
BNIP3L	GABARAPL1	PPrel: binding/association	-	1.0
BNIP3L	STEAP3	complex; input	-	1.0
BRIP1	MYC	expression regulated by	<-	1.0
BRIP1	UHRF1	predicted	-	0.92
BTG2	GATA2	expression regulated by	<-	1.0
C2	C4BPB	complex; input	-	1.0
C3AR1	CCR1	predicted	-	0.94
C3AR1	CD14	predicted	-	0.93
C3AR1	CD180	predicted	-	0.91
C3AR1	CMKLR1	predicted	-	0.94
C3AR1	GPSM3	inhibited by	|-	1.0
C3AR1	LPAR1	predicted	-	0.93
CA2	SLC4A4	predicted	-	0.91
CACNA2D1	CAMK2D	PPrel: activated by, phosphorylation	<-	1.0
CACNA2D1	PPP2R2C	PPrel: inhibited by, dephosphorylation	|-	1.0
CACNA2D1	PPP2R3A	PPrel: inhibited by, dephosphorylation	|-	1.0
CACNA2D1	RASGRF2	PPrel: compound	-	1.0
CACNA2D1	RASGRP1	PPrel: compound	-	1.0
CACNA2D1	RASGRP2	PPrel: compound	-	1.0
CACNB4	CAMK2D	PPrel: activated by, phosphorylation	<-	1.0
CACNB4	PPP2R2C	PPrel: inhibited by, dephosphorylation	|-	1.0
CACNB4	PPP2R3A	PPrel: inhibited by, dephosphorylation	|-	1.0
CACNB4	RASGRF2	PPrel: compound	-	1.0
CACNB4	RASGRP1	PPrel: compound	-	1.0
CACNB4	RASGRP2	PPrel: compound	-	1.0
CACNG4	CAMK2D	PPrel: activated by, phosphorylation; catalyzed by	<-	1.0
CACNG4	EPB41L1	input	-	1.0
CACNG4	PPP2R2C	PPrel: inhibited by, dephosphorylation	|-	1.0
CACNG4	PPP2R3A	PPrel: inhibited by, dephosphorylation	|-	1.0
CACNG4	RASGRF2	PPrel: compound	-	1.0
CACNG4	RASGRP1	PPrel: compound	-	1.0
CACNG4	RASGRP2	PPrel: compound	-	1.0
CACNG6	CAMK2D	PPrel: activated by, phosphorylation	<-	1.0
CACNG6	PPP2R2C	PPrel: inhibited by, dephosphorylation	|-	1.0
CACNG6	PPP2R3A	PPrel: inhibited by, dephosphorylation	|-	1.0
CACNG6	RASGRF2	PPrel: compound	-	1.0
CACNG6	RASGRP1	PPrel: compound	-	1.0
CACNG6	RASGRP2	PPrel: compound	-	1.0
CACNG7	CAMK2D	PPrel: activated by, phosphorylation	<-	1.0
CACNG7	PPP2R2C	PPrel: inhibited by, dephosphorylation	|-	1.0
CACNG7	PPP2R3A	PPrel: inhibited by, dephosphorylation	|-	1.0
CACNG7	RASGRF2	PPrel: compound	-	1.0
CACNG7	RASGRP1	PPrel: compound	-	1.0
CACNG7	RASGRP2	PPrel: compound	-	1.0
CACNG8	CAMK2D	PPrel: activated by, phosphorylation; catalyzed by	<-	1.0
CACNG8	EPB41L1	input	-	1.0
CACNG8	PPP2R2C	PPrel: inhibited by, dephosphorylation	|-	1.0
CACNG8	PPP2R3A	PPrel: inhibited by, dephosphorylation	|-	1.0
CACNG8	RASGRF2	PPrel: compound	-	1.0
CACNG8	RASGRP1	PPrel: compound	-	1.0
CACNG8	RASGRP2	PPrel: compound	-	1.0
CALCR	JUN	GErel: expression by	<-	1.0
CALCR	NFATC1	GErel: expression by	<-	1.0
CALCR	RAMP1	complex	-	1.0
CAMK1D	CREB3L1	PPrel: activation, phosphorylation	->	1.0
CAMK2D	CREB3L1	PPrel: activation; PPrel: activation, phosphorylation	->	1.0
CAMK2D	EPB41L1	catalyze	->	1.0
CAMK2D	FLNB	PPrel: phosphorylation	->	1.0
CAMK2D	FLNC	PPrel: phosphorylation	->	1.0
CAMK2D	FOXO1	PPrel: activation, phosphorylation, indirect effect	->	1.0
CAMK2D	IFNGR2	catalyze	->	1.0
CAMK2D	JAK1	activated by; catalyze	<->	1.0
CAMK2D	MEF2C	activate	->	1.0
CAMK2D	PDE10A	PPrel: inhibition, phosphorylation	-|	1.0
CAMK2D	PDE3A	PPrel: inhibition, phosphorylation	-|	1.0
CAMK2D	PDE3B	PPrel: inhibition, phosphorylation	-|	1.0
CAMK2D	PLCG1	PPrel: compound	-	1.0
CAMK2D	PPM1F	catalyzed by	<-	1.0
CAMK2D	SCN5A	PPrel: activation, phosphorylation; inhibit	-	1.0
CAMK2D	TLE1	activate	->	1.0
CAMSAP3	MAPRE3	predicted	-	0.93
CAMSAP3	PLEKHA7	activated by	<-	1.0
CAMSAP3	TUBB2B	predicted	-	0.91
CARD11	MALT1	complex; input	-	1.0
CARD11	RIPK2	catalyzed by	<-	1.0
CASK	CLIC5	complex	-	1.0
CASK	EPB41L1	complex	-	1.0
CASK	GSN	complex	-	1.0
CASK	MPP1	complex	-	1.0
CASK	MSN	complex	-	1.0
CASK	MYO7A	complex	-	1.0
CASK	NRXN3	complex; input	-	1.0
CASK	PPFIA2	activate	->	1.0
CASK	RAB3A	activate	->	1.0
CASK	RIMS1	activate	->	1.0
CASK	SDC2	complex; input	-	1.0
CASK	SDC3	complex; input	-	1.0
CASK	UNC13B	activate	->	1.0
CAV1	CD44	predicted	-	0.93
CAV1	COL12A1	complex; input	-	1.0
CAV1	COL17A1	complex; input	-	1.0
CAV1	COL27A1	complex; input	-	1.0
CAV1	COL3A1	complex; input	-	1.0
CAV1	COL4A3	complex; input	-	1.0
CAV1	COL4A4	complex; input	-	1.0
CAV1	COL4A5	complex; input	-	1.0
CAV1	COL4A6	complex; input	-	1.0
CAV1	COL5A1	complex; input	-	1.0
CAV1	COL6A2	complex; input	-	1.0
CAV1	COL6A3	complex; input	-	1.0
CAV1	COL8A1	complex; input	-	1.0
CAV1	DAG1	predicted	-	0.91
CAV1	DMBT1	complex; input	-	1.0
CAV1	F2R	predicted	-	0.92
CAV1	FN1	complex; input	-	1.0
CAV1	FZD5	activate; complex	->	1.0
CAV1	GPC1	PPrel: activated, indirect effect	<-	1.0
CAV1	IRS1	activated by	<-	1.0
CAV1	ITGA2	complex; input	-	1.0
CAV1	ITGA6	complex; input	-	1.0
CAV1	ITGB3	PPrel: binding/association	-	1.0
CAV1	ITGB8	PPrel: binding/association; complex; input	-	1.0
CAV1	ITGBL1	complex; input	-	1.0
CAV1	LAMA1	complex; input	-	1.0
CAV1	LAMA3	complex; input	-	1.0
CAV1	LAMA5	complex; input	-	1.0
CAV1	LAMB2	complex; input	-	1.0
CAV1	LAMC2	complex; input	-	1.0
CAV1	OCLN	predicted	-	0.92
CAV1	PPARG	predicted	-	0.93
CAV1	PRNP	PPrel: activated by	<-	1.0
CAV1	RAC3	predicted	-	0.91
CAV1	SDC2	PPrel: activated, indirect effect	<-	1.0
CAV1	SMAD3	input	-	1.0
CAV1	SMAD7	complex; input	-	1.0
CAV1	TNFRSF1A	activate	->	1.0
CBL	CBLB	predicted	-	0.97
CBL	DNAJC6	complex; input	-	1.0
CBL	EFNA1	activated by	<-	1.0
CBL	EPOR	activated by	<-	1.0
CBL	ERBB4	catalyze	->	1.0
CBL	EREG	complex; input	-	1.0
CBL	FGF20	complex; input	-	1.0
CBL	FGF5	complex; input	-	1.0
CBL	FGFR2	PPrel: binding/association; PPrel: ubiquitination; complex; input	-	1.0
CBL	FLT1	complex; input	-	1.0
CBL	HIP1	complex; input	-	1.0
CBL	HIP1R	complex; input	-	1.0
CBL	HLA-A	complex; input	-	1.0
CBL	HLA-DRA	activated by; complex; input	<-	1.0
CBL	HLA-DRB1	activated by; complex; input	<-	1.0
CBL	IL6	complex; input	-	1.0
CBL	IL6R	complex; input	-	1.0
CBL	IRS1	activated by	<-	1.0
CBL	ITGB3	complex; input	-	1.0
CBL	ITSN1	activated by; complex; input	<-	1.0
CBL	JAK1	activated by; complex; input	<-	1.0
CBL	KDR	complex; inhibited by; input	|-	1.0
CBL	KITLG	complex; input	-	1.0
CBL	KL	complex; input	-	1.0
CBL	LRIG1	activated by	<-	1.0
CBL	MYC	PPrel: inhibition, indirect effect	-|	1.0
CBL	PDGFB	complex; input	-	1.0
CBL	PLCG1	activate; input	->	1.0
CBL	PTK2B	predicted	-	0.93
CBL	PTPN3	catalyzed by	<-	1.0
CBL	REPS2	complex	-	1.0
CBL	SDC2	complex; input	-	1.0
CBL	SH3KBP1	activate; complex; input	->	1.0
CBL	SOCS3	inhibited by	|-	1.0
