Source,Target,Signal Flow
JUN,ATP8B1,0.17095663972512082
LEF1,AXIN2,0.1815458541442923
TCF7,AXIN2,0.33324467796042884
TCF7L2,AXIN2,0.204589144490786
NR4A1,BABAM2,-0.21265046903082627
NR3C1,BAD,0.2100556758002249
PPARG,BAD,0.09307921563320533
BID,BAK1,0.9451727137287561
FOXF2,BAMBI,0.14194621074723915
SMAD3,BAMBI,0.27081881181815814
JUN,BATF3,0.09870186196505239
NFATC1,BATF3,0.15584541687346742
PTPN6,BATF3,0.35388236920319727
ABL1,BAX,0.2506565114899108
GFI1,BAX,-0.3126483802440508
NR3C1,BAX,0.17150974109534656
EGR1,BCAR1,0.08371007364325539
ETV4,BCHE,0.21379985316550268
JUN,BCHE,0.12088459923849844
FOXQ1,BCL11A,0.3362351843955993
ABL1,BCL2,-0.1941576989237745
GLI2,BCL2,0.23448430118720814
PPARG,BCL2,-0.05886846484457611
SATB1,BCL2,0.09843029587473957
SIM2,BCL2,-0.11265949749878355
PPARG,BCL2L1,-0.1316338891235288
FOXO1,BCL2L11,0.10838365380440072
JUN,BCL2L11,0.09870186196505239
MYC,BCL2L11,0.12540717754978847
ABL1,BCL6,-0.30699027692817515
ZEB1,BCL6,-0.16010495914054315
JUN,BECN1,0.17095663972512082
GATA2,BEND3,0.14498630686202263
JUN,BEX2,0.17095663972512082
NR3C1,BGLAP,-0.297063585570124
ARNTL,BHLHE40,0.031144999974948354
EGR1,BHLHE40,0.0374362830135665
MEF2C,BHLHE40,0.08269028125750746
NR3C1,BHLHE40,0.13285087419492458
TCF7L2,BHLHE40,0.15847406988552737
BIRC3,BID,0.1382850680524653
CRADD,BID,0.17296954578421136
CTSC,BID,0.24465029702626465
CTSS,BID,0.06361862097683042
GSN,BID,-0.3566580884069896
MADD,BID,0.20622473722804177
TNFRSF1A,BID,0.259253735702168
CFLAR,BIRC3,0.16280501261502775
CTSC,BIRC3,-0.22884939776119045
CTSS,BIRC3,-0.059509770778582285
LEF1,BIRC3,0.11117367689281371
TCF7,BIRC3,0.20406985512528844
TCF7L2,BIRC3,0.12528475272874143
TNFRSF1A,BIRC3,0.242509663809689
TNFSF10,BIRC3,0.09094290156673539
TCF7L2,BIRC5,0.35435879293509154
MYC,BMI1,0.2172116031500447
A2M,BMP1,-0.34383124322146563
HEY1,BMP2,-0.46591154057647977
NOG,BMP5,-0.5117178996674533
NOG,BMP6,-0.5117178996674533
BMP5,BMPR1B,0.05256851095466413
BMP6,BMPR1B,-0.0794982412624559
INHBB,BMPR1B,0.04641535958832562
SMAD3,BMPR1B,0.17128085571318116
SMAD6,BMPR1B,-0.35098290526892695
CITED2,BNIP3L,-0.38297584520635575
HMGA1,BRCA1,-0.10192202908014023
JUN,BRCA1,0.09870186196505239
NR3C1,BRCA1,0.17150974109534656
MYC,BRD7,-0.2172116031500447
MYC,BRIP1,0.2172116031500447
PPARG,BRS3,0.1316338891235288
AR,BTG1,-0.07379144864026742
AR,BTG2,-0.05217843372711192
GATA2,BTG2,0.10252080076132987
GPSM3,C3AR1,-0.15283007949523128
NR3C2,CABIN1,-0.26601500537779227
CAMK2D,CACNA2D1,0.2262991790862842
PPP2R2C,CACNA2D1,-0.2543619687172715
PPP2R3A,CACNA2D1,-0.1745314417802445
CAMK2D,CACNB4,0.2262991790862842
PPP2R2C,CACNB4,-0.2543619687172715
PPP2R3A,CACNB4,-0.1745314417802445
AKAP5,CACNG4,0.22838470896534305
CAMK2D,CACNG4,0.19598083794428625
PPP2R2C,CACNG4,-0.2202839266657798
PPP2R3A,CACNG4,-0.15114866234081645
CAMK2D,CACNG6,0.2262991790862842
PPP2R2C,CACNG6,-0.2543619687172715
PPP2R3A,CACNG6,-0.1745314417802445
CAMK2D,CACNG7,0.2262991790862842
PPP2R2C,CACNG7,-0.2543619687172715
PPP2R3A,CACNG7,-0.1745314417802445
AKAP5,CACNG8,0.22838470896534305
CAMK2D,CACNG8,0.19598083794428625
PPP2R2C,CACNG8,-0.2202839266657798
PPP2R3A,CACNG8,-0.15114866234081645
ADM,CALCR,0.27490926748098315
JUN,CALCR,0.09870186196505239
NFATC1,CALCR,0.15584541687346742
NR3C1,CALD1,0.297063585570124
JAK1,CAMK2D,0.5051143799838294
PPM1F,CAMK2D,0.686221710454104
PLEKHA7,CAMSAP3,0.9569472826288449
RIPK2,CARD11,0.6710222089113944
SIM2,CASP3,0.25191429471824756
GATA6,CAV1,-0.06397511502107965
GPC1,CAV1,0.29991943845080327
IRS1,CAV1,0.35096666599283677
PRNP,CAV1,0.6270260959162208
SDC2,CAV1,0.4861291932217316
ABL1,CBL,0.11603141823811446
EFNA1,CBL,0.07008279639766361
EPOR,CBL,0.10243704094946332
HLA-DRA,CBL,0.18477341841853986
HLA-DRB1,CBL,0.1764975980155443
IRS1,CBL,0.20974270005867346
ITSN1,CBL,0.1617941621316208
JAK1,CBL,0.19091529043997066
KDR,CBL,-0.17539312875007523
LRIG1,CBL,0.09415076108350387
PTPN3,CBL,0.1081279261976564
SOCS3,CBL,-0.29705196783847765
SPRY1,CBL,-0.35954442714380147
VEGFA,CBL,-0.19457571188592726
JUN,CBX5,0.09870186196505239
MYC,CBX5,0.12540717754978847
TCF7L2,CBX5,0.204589144490786
JUN,CCK,0.17095663972512082
JUN,CCL2,0.12088459923849844
NFAT5,CCL2,-0.6403631541262234
ATF1,CCNA1,-0.30658155064069903
NR4A1,CCNA2,-0.15036658867419714
ZHX2,CCNA2,-0.2977967889305827
BTG2,CCND1,-0.06856717564930036
EGR1,CCND1,0.029595980363385583
JUN,CCND1,-0.06044229961924922
MYC,CCND1,-0.07679589876989891
NKX3-1,CCND1,-0.11366591192567117
PPARG,CCND1,-0.046539607816602664
TCF4,CCND1,0.04460307727546872
TSC22D3,CCND1,0.2690907806841457
ABL1,CCND2,0.21707490657424877
ETV4,CCND2,0.15117932599001513
MYC,CCND2,0.10860580157502235
SMAD3,CCND2,0.19149781830950313
AR,CCND3,0.023334904954658
EGR1,CCND3,0.02647144958131164
ETV4,CCND3,0.09561420105150753
FLI1,CCND3,0.04217092340978744
JUN,CCND3,0.05406123626602037
LEF1,CCND3,0.09943675953637164
NR3C1,CCND3,-0.0939397540297921
STAT4,CCND3,0.21974827974099248
TCF7,CCND3,0.18252562728747154
TCF7L2,CCND3,0.11205808945828727
MYC,CCNE1,0.12540717754978847
PPARG,CCNE1,-0.07599886131994671
ZHX2,CCNE1,-0.2431500599730765
CCL26,CCR1,0.15648004144603472
CXCL16,CCR1,0.12186674269624094
GPSM3,CCR1,-0.08823648753684368
KLF2,CCR5,0.14236034401225278
NR3C2,CCR5,0.18810101420001282
NR3C2,CCR6,0.26601500537779227
BIRC3,CD14,0.2112339306108473
CD180,CD14,-0.1457146117204384
SIGIRR,CD14,-0.1319917148410175
LEF1,CD1D,-0.31444664328140304
JUN,CD274,0.12088459923849844
NFATC1,CD274,0.19087087504566339
MYC,CD33,-0.2172116031500447
PPARG,CD36,0.1316338891235288
MYC,CD38,0.2172116031500447
NFATC1,CD3G,-0.26993218015159753
BIRC3,CD40,0.1829339500502331
CBLB,CD40,0.17368465229124988
JUN,CD40,0.08547831986256041
NR3C2,CD40,0.13300750268889613
GATA3,CD40LG,0.19536921755987766
ANK1,CD44,0.05265536931542326
ANK3,CD44,0.07395930536802636
COL4A3,CD44,0.04200123125089855
COL4A4,CD44,0.05457463340722555
COL4A5,CD44,0.0736345070661045
COL4A6,CD44,0.07033219496452014
COL6A2,CD44,0.05314692484604847
COL6A3,CD44,0.08353899934610463
EGR1,CD44,0.01871814150678325
FN1,CD44,0.15077709889843371
HMGA1,CD44,0.039474232123905106
JUN,CD44,0.03822706676303111
LAMA1,CD44,0.1563142800334709
LAMA3,CD44,0.16561440865618346
LAMA5,CD44,0.18033707801608553
LAMB2,CD44,0.23419517650104743
LAMC2,CD44,0.2637105307872873
MMP15,CD44,0.045376218461134675
SNAI2,CD44,0.0771707534686724
ZEB1,CD44,0.05062963355723109
ANK1,CD59,0.16651089807407854
ANK3,CD59,0.23387985912688103
AP1S3,CD74,0.07402240762424075
CTSS,CD74,0.050750103040607675
HLA-DMB,CD74,0.11777052027060987
HLA-DOA,CD74,0.10275745408015748
HLA-DPA1,CD74,0.23873567752789004
HLA-DPB1,CD74,0.2327800815961616
HLA-DRA,CD74,0.20845252918438142
HLA-DRB1,CD74,0.1991161446067444
HLA-DRB5,CD74,0.23231326977840258
MEF2C,CD74,0.055749776250858335
POU2F2,CD74,0.07970249745068962
JUN,CD82,0.17095663972512082
PPARG,CD83,0.1316338891235288
GATA3,CD8A,0.19536921755987766
HMGA1,CDC25A,0.17653413277731547
MYC,CDC25C,0.2172116031500447
MYC,CDC34,0.2172116031500447
AR,CDC6,0.07379144864026742
ACTBL2,CDH1,0.043092023728987995
ACTC1,CDH1,0.09258055267829188
AR,CDH1,-0.016928919343178816
FOXA2,CDH1,0.04307130440399404
GATA3,CDH1,0.04482077242221677
GFRA1,CDH1,0.03340001727452185
GLI2,CDH1,-0.12028790846094538
HMGA1,CDH1,-0.040499707624311015
HMGA2,CDH1,0.13169787341408315
LMO2,CDH1,-0.05993259443877972
MMP15,CDH1,0.0465550178406109
MMP3,CDH1,0.08715707668076245
MMP8,CDH1,0.0209285939653236
SIX1,CDH1,-0.10868446806871555
SMAD3,CDH1,-0.08786522504417232
SNAI2,CDH1,-0.0791755224729582
SPDEF,CDH1,0.05378080207218413
ZEB1,CDH1,-0.05194490800372316
ZEB2,CDH1,-0.06802790163200344
ACTBL2,CDH11,0.10844588154487264
ACTC1,CDH11,0.2329892815489886
CDH1,CDH11,0.0671902952836188
ACTBL2,CDH19,0.09391688835365772
ACTC1,CDH19,0.20177463663090908
CDH1,CDH19,0.05818850260339164
CDH11,CDH19,0.1989702613670187
AR,CDH2,0.07379144864026742
GATA3,CDH3,-0.19536921755987766
ACTBL2,CDH4,0.08400181863761479
ACTC1,CDH4,0.18047272145681273
CDH1,CDH4,0.05204537893204287
CDH11,CDH4,0.17796441196702162
CDH19,CDH4,0.21854957611616077
SMAD7,CDK1,-0.42037823812397174
AR,CDK20,0.07379144864026742
MYC,CDK4,0.12540717754978847
NR3C1,CDK4,-0.17150974109534656
SATB1,CDK4,0.1270729655617117
EGR1,CDK5R1,0.08371007364325539
MYC,CDK6,0.15359179753979782
NR3C1,CDK6,-0.2100556758002249
ABL1,CDKN1A,0.11603141823811446
AR,CDKN1A,-0.01972159420611475
EGR1,CDKN1A,0.02237245824247694
HIPK2,CDKN1A,0.08893205748698442
JUN,CDKN1A,-0.0456900838461107
KLF2,CDKN1A,0.05380715240200343
MYC,CDKN1A,-0.05805224281566962
NR3C1,CDKN1A,0.07939358280642911
PPARG,CDKN1A,0.03518063668491668
SMAD3,CDKN1A,0.10235988948983522
SMAD7,CDKN1A,-0.11235080999396957
TFAP2C,CDKN1A,-0.09012429530324537
TFAP4,CDKN1A,0.1024218212306684
TSC22D3,CDKN1A,-0.20341351022584936
FOXO1,CDKN1B,0.13274232413962125
NR4A1,CDKN1B,0.15036658867419714
CCND3,CDKN1C,0.8916771902951002
SMAD7,CDKN2B,-0.42037823812397174
ABL1,CDON,0.30699027692817515
IHH,CDON,-0.2684612619203823
GATA3,CDX2,0.19536921755987766
HEY1,CEACAM1,0.46591154057647977
MYC,CEBPA,-0.2172116031500447
MEF2C,CELF2,0.18490108997036347
ACTBL2,CELSR1,0.07668281823213252
ACTC1,CELSR1,0.16474830092707157
CDH1,CELSR1,0.047510713424973365
CDH11,CELSR1,0.1624585381124668
CDH19,CELSR1,0.19950755462002262
CDH4,CELSR1,0.24871433352628822
ETV4,CETP,0.21379985316550268
RARB,CETP,0.2393838973125401
BIRC3,CFLAR,-0.1829339500502331
MYC,CFLAR,-0.10860580157502235
PPARG,CFLAR,-0.0658169445617644
TNFSF10,CFLAR,0.12861268479723859
ATF1,CFTR,0.21678589344472518
FOXA2,CFTR,-0.13275467599706012
ATF1,CGA,0.21678589344472518
THRB,CGA,-0.4676761921959868
MYC,CHEK1,0.2172116031500447
MYC,CHEK2,0.2172116031500447
EGR1,CHGA,0.08371007364325539
DENND1B,CHML,0.3344337608370259
DENND2A,CHML,0.1964307278388233
MADD,CHML,0.24400839973796978
RIN1,CHML,0.20831316762325758
RIN3,CHML,0.30045367242221477
BMPR1B,CHRDL1,0.14154440162448825
GATA3,CHST4,0.19536921755987766
ATF1,CIITA,0.15329077532034951
MEF2C,CIITA,0.09245054498518174
POU2F2,CIITA,0.13217163944909763
PPARG,CIITA,-0.0658169445617644
FOXA2,CITED2,0.13275467599706012
JUN,CITED2,-0.12088459923849844
LEF1,CLDN2,0.31444664328140304
TCF4,CLEC4C,0.12615655361308614
CASK,CLIC5,0.23851889833692436
AR,CLK3,-0.07379144864026742
GATA2,CLU,0.08370788329559846
JUN,CLU,0.09870186196505239
MYBL2,CLU,0.25580293587710584
EGR1,CNTN1,0.059191960726771166
JUN,CNTN1,0.12088459923849844
FOXP2,CNTNAP2,-0.1524871266285387
TCF4,CNTNAP2,0.08920615455093744
HMGA2,COL11A2,0.5740577212912004
ACTBL2,COL12A1,0.09391688835365772
CAV1,COL12A1,0.22836436675561111
MMP12,COL12A1,0.2804506545841573
PTK2B,COL12A1,0.21172197448421443
ACTBL2,COL17A1,0.10844588154487264
CAV1,COL17A1,0.26369245723934104
PTK2B,COL17A1,0.24447547792364058
CIITA,COL1A1,-0.1765795540350559
CIITA,COL1A2,-0.12486060007708442
FLI1,COL1A2,-0.09429705141822192
ACTBL2,COL27A1,0.08400181863761479
ADAMTS3,COL27A1,0.14226140880857696
BMP1,COL27A1,0.0673636063527827
CAV1,COL27A1,0.20425529908169582
PTK2B,COL27A1,0.18936989091087175
ACTBL2,COL3A1,0.07668281823213252
ADAMTS3,COL3A1,0.1298663044448696
BMP1,COL3A1,0.06149427792386235
CAV1,COL3A1,0.18645872466168176
PTK2B,COL3A1,0.17287026827362834
SMAD3,COL3A1,0.15635731390482824
ACTBL2,COL4A3,0.10844588154487264
CAV1,COL4A3,0.26369245723934104
PTK2B,COL4A3,0.24447547792364058
ACTBL2,COL4A4,0.09391688835365772
CAV1,COL4A4,0.22836436675561111
COL4A3,COL4A4,0.0939176082156977
PTK2B,COL4A4,0.21172197448421443
ACTBL2,COL4A5,0.08400181863761479
CAV1,COL4A5,0.20425529908169582
COL4A3,COL4A5,0.0840024625017971
COL4A4,COL4A5,0.1091492668144511
PTK2B,COL4A5,0.18936989091087175
ACTBL2,COL4A6,0.07668281823213252
CAV1,COL4A6,0.18645872466168176
COL4A3,COL4A6,0.07668340599702689
COL4A4,COL4A6,0.0996391926157082
COL4A5,COL4A6,0.13443760176959663
PTK2B,COL4A6,0.17287026827362834
ACTBL2,COL5A1,0.08400181863761479
ADAMTS3,COL5A1,0.14226140880857696
BMP1,COL5A1,0.0673636063527827
CAV1,COL5A1,0.20425529908169582
PTK2B,COL5A1,0.18936989091087175
ACTBL2,COL6A2,0.10844588154487264
CAV1,COL6A2,0.26369245723934104
PTK2B,COL6A2,0.24447547792364058
ACTBL2,COL6A3,0.08400181863761479
CAV1,COL6A3,0.20425529908169582
COL6A2,COL6A3,0.10629384969209695
PTK2B,COL6A3,0.18936989091087175
SMAD3,COL6A3,0.17128085571318116
ACTBL2,COL8A1,0.10844588154487264
CAV1,COL8A1,0.26369245723934104
PTK2B,COL8A1,0.24447547792364058
MEF2C,CPT1B,0.13074481456682793
PPARG,CPT1B,0.09307921563320533
TFAP2C,CRABP2,0.33721423524918404
BIRC3,CRADD,0.3658679001004662
ATF1,CREB3L1,0.1158769342222635
CAMK1D,CREB3L1,0.13469636904442697
CAMK2D,CREB3L1,0.14814758826703783
MAPK13,CREB3L1,0.2397713923800784
PRKCG,CREB3L1,0.3784846975797426
PRKG1,CREB3L1,0.2135985308570198
RPS6KA5,CREB3L1,0.2698996693823432
JUN,CREM,0.17095663972512082
AR,CRH,-0.07379144864026742
ARNTL,CRY1,0.06964233710321377
ARNTL,CRY2,0.06964233710321377
ABL1,CSF1,0.2506565114899108
JUN,CSF1,0.09870186196505239
PPARG,CSF1,-0.07599886131994671
JAK1,CSF3,0.5051143799838294
NR3C1,CSF3,0.2100556758002249
CHPF,CSPG4,0.45559607185874734
CHST11,CSPG4,0.5164380322577208
JUN,CSPG4,0.09870186196505239
JUN,CTGF,-0.17095663972512082
AR,CTNNB1,0.07379144864026742
JUN,CTSL,0.17095663972512082
SNAI2,CXADR,-0.199254028665631
ZEB1,CXADR,-0.13072515172782678
ZEB2,CXADR,-0.1711997981001703
GATA3,CXCL1,-0.19536921755987766
FOXF2,CXCL12,0.14194621074723915
SNAI2,CXCL12,0.24403534971234417
GPSM3,CXCL16,-0.15283007949523128
EGR1,CXCL8,-0.0483300335518169
JUN,CXCL8,0.09870186196505239
NEAT1,CXCL8,-0.5517405133996317
CCL26,CXCR4,0.09034379405167192
CXCL16,CXCR4,0.07035979670093756
DNM1,CXCR4,-0.12110534227827129
FOXO1,CXCR4,0.06257533169972596
GPSM3,CXCR4,-0.05094335983174376
JUN,CXCR4,0.05698554657504027
KLF2,CXCR4,-0.06710930974874244
MYC,CXCR4,0.07240386771668156
SNAI2,CXCR4,0.11503936708721944
MYC,CYB561,0.2172116031500447
GATA2,CYBB,-0.10252080076132987
SATB1,CYBB,-0.15563196286422637
ABI2,CYFIP2,0.0445915978514785
ABL1,CYFIP2,0.2506565114899108
RAC3,CYFIP2,-0.5826833391543839
LEF1,CYLD,-0.31444664328140304
GATA6,CYP11A1,0.10115353851893133
JUN,CYP11A1,0.12088459923849844
GATA6,CYP17A1,0.08259151834944849
NR2F1,CYP17A1,-0.1376319818586067
SMAD3,CYP17A1,-0.2211226339004354
JUN,CYP19A1,-0.12088459923849844
NR3C1,CYP19A1,0.2100556758002249
AHRR,CYP1A1,-0.4227067112701858
GFI1,CYP27B1,-0.5415228794868094
EGR1,CYP2B6,0.08371007364325539
NFATC1,CYP2E1,0.26993218015159753
PPARGC1A,CYP7A1,0.24152946350284785
SMAD3,CYP7A1,-0.27081881181815814
AR,CYP7B1,-0.07379144864026742
GATA6,DAB2,0.10115353851893133
JUN,DAB2,0.12088459923849844
TNFRSF1B,DAB2IP,1.0558906596251707
AGRN,DAG1,0.18725934366314115
ARHGEF6,DAG1,0.23421373328762013
HSPG2,DAG1,0.15046137931027645
LAMA1,DAG1,0.24715457785757455
LAMA3,DAG1,0.26185937234772283
LAMA5,DAG1,0.28513795655515467
LAMB2,DAG1,0.37029508738422645
LAMC2,DAG1,0.4169629601298921
EHF,DCDC2,-0.8244788637316198
JUN,DCN,-0.17095663972512082
JUN,DDAH1,0.17095663972512082
JDP2,DDIT3,-0.2543219248629377
JUN,DDIT3,0.12088459923849844
TRIM16,DES,-0.4466229297407819
GATA2,DKK1,0.07249315343101131
JUN,DKK1,0.08547831986256041
MYC,DKK1,-0.10860580157502235
TCF7L2,DKK1,0.17717939646754577
ACTBL2,DMBT1,0.04849847260284502
CAV1,DMBT1,0.11792685190822459
COL12A1,DMBT1,0.1273352685520896
COL17A1,DMBT1,0.08056935923831733
COL27A1,DMBT1,0.0862071778350351
COL3A1,DMBT1,0.08180364955486277
COL4A3,DMBT1,0.048498844338004006
COL4A4,DMBT1,0.06301735857717362
COL4A5,DMBT1,0.08502580495252166
COL4A6,DMBT1,0.0812126233909259
COL5A1,DMBT1,0.1129216514647966
COL6A2,DMBT1,0.06136878273293379
COL6A3,DMBT1,0.09646252752061095
COL8A1,DMBT1,0.09167660525485039
PTK2B,DMBT1,0.10933275749380186
ARHGEF6,DMD,0.3824694248713204
DAG1,DMD,0.9175750460454961
JUN,DMD,0.09870186196505239
ADRB2,DNAJC6,0.19000371929069163
AP1S3,DNAJC6,0.12275227608417472
CBL,DNAJC6,0.13146000333758168
DAB2,DNAJC6,0.1975649685957576
GNA15,DNM1,-0.4661061920180503
SLC9A3R1,DNM1,-1.6347067513192308
PLXNA1,DPYSL2,0.4459588802418835
PLXNA4,DPYSL2,0.29583980371544166
SEMA3A,DPYSL2,0.7357750893441878
JUN,DPYSL3,0.08547831986256041
PLXNA1,DPYSL3,0.38621171933273324
PLXNA4,DPYSL3,0.25620478546817443
SEMA3A,DPYSL3,0.6371999188438315
NR2F1,DR1,-0.2383855853255048
LEF1,DSG4,-0.31444664328140304
ANXA1,DYSF,0.7013799368778748
NR4A1,E2F1,0.15036658867419714
TRIM16,E2F1,-0.3158101022531098
EGR1,EAPP,0.08371007364325539
MYC,EBNA1BP2,0.2172116031500447
AR,ECM1,0.05217843372711192
TFAP2C,ECM1,0.2384464724573337
ADRA1B,EDN1,0.09374042064724121
CXCR4,EDN1,0.1172866074779752
GATA2,EDN1,0.04584869592200916
GATA3,EDN1,0.061781171217417705
JUN,EDN1,0.05406123626602037
MYC,EDN1,0.06868834001707459
NFATC1,EDN1,0.08536005030539434
NFATC4,EDN1,0.16543468483256066
PPARG,EDN1,0.04162629068964165
SMAD3,EDN1,0.12111385456222501
EDN1,EDNRB,0.30880166259619024
EDN2,EDNRB,0.11712308957435527
CDH1,EFNA1,0.0671902952836188
FOXA2,EFNA1,0.10839373905376765
TFAP2C,EFNA1,0.19469072949569022
GATA2,EGFL7,0.14498630686202263
AR,EGFR,0.033000539063564475
EGR1,EGFR,0.0374362830135665
JUN,EGFR,0.07645413352606222
NR3C2,EGFR,0.11896552701194311
PPARG,EGFR,-0.05886846484457611
ATF1,EGR1,0.10839294672236259
CREB3L1,EGR1,0.2759877502426955
FOXO1,EGR1,-0.06637116206981063
GATA2,EGR1,0.051260400380664935
JUN,EGR1,-0.06044229961924922
MECOM,EGR1,-0.20473929090138776
POU2F2,EGR1,0.09345946253500031
SNAI2,EGR1,-0.12201767485617208
EGR1,EHF,0.0483300335518169
POU2F2,EHF,0.15261866323034137
ZEB1,EHF,0.13072515172782678
LEF1,ELANE,0.31444664328140304
NR3C1,ELK1,-0.297063585570124
ABL1,ENAH,0.2506565114899108
APBB1IP,ENAH,0.22886240179595693
CDH1,ENAH,0.0671902952836188
JUN,ENTPD3,0.17095663972512082
AR,EP300,0.05217843372711192
EGR1,EP300,0.059191960726771166
AKAP5,EPB41L1,0.17264261233490322
CACNG4,EPB41L1,0.05290700166176451
CACNG8,EPB41L1,0.10598392021064086
CAMK2D,EPB41L1,0.14814758826703783
CASK,EPB41L1,0.09015166971265706
CLIC5,EPB41L1,0.16516498271846186
NGF,EPB41L1,0.12739585222348543
ZEB1,EPCAM,-0.2264226046197464
EFNA1,EPHA10,0.26222581282709223
EFNA1,EPHA5,0.18542165045219128
EPHA10,EPHA5,0.32605417351660926
DNM1,EPHB2,-0.18165801341740695
EFNA1,EPHB2,0.13111290641354612
EPHA10,EPHB2,0.23055511712776963
EPHA5,EPHB2,0.36655932838172467
